iter	Logloss
0	0.6890451249
1	0.6846159164
2	0.6804187324
3	0.6761031043
4	0.6730133532
5	0.668780835
6	0.6648641441
7	0.6606328828
8	0.6568784255
9	0.6531751298
10	0.6495647645
11	0.6462386861
12	0.6424358192
13	0.6394093261
14	0.6358085382
15	0.632714781
16	0.6285360106
17	0.6260572644
18	0.6241424843
19	0.6216104782
20	0.6184730971
21	0.6157831361
22	0.6125904213
23	0.6094920245
24	0.6069700601
25	0.6044093716
26	0.6023206807
27	0.5996729923
28	0.5969000108
29	0.5948707656
30	0.5919251423
31	0.5894790118
32	0.5863371354
33	0.5833507567
34	0.5813919132
35	0.5786881016
36	0.5760153827
37	0.5739140759
38	0.5714865399
39	0.5692285699
40	0.5675584121
41	0.5655376002
42	0.5631043548
43	0.5619173601
44	0.559455056
45	0.5578739912
46	0.5558453408
47	0.5534366281
48	0.5514659291
49	0.5500389059
50	0.5482202816
51	0.5458827858
52	0.5435961205
53	0.541281297
54	0.5389536738
55	0.537237077
56	0.5351145722
57	0.5335791987
58	0.5313187828
59	0.5300834521
60	0.5285439623
61	0.5271233667
62	0.5259585221
63	0.5244587922
64	0.5232777537
65	0.5217417208
66	0.5201263516
67	0.5184175558
68	0.5172037731
69	0.5155969852
70	0.5142384109
71	0.5127062545
72	0.5110849701
73	0.5091807303
74	0.5079663947
75	0.5064527267
76	0.5048526454
77	0.5035787343
78	0.5020131566
79	0.5004402125
80	0.4986631772
81	0.4973982875
82	0.4960227356
83	0.494832043
84	0.493262326
85	0.4920362653
86	0.4909628806
87	0.4897182463
88	0.4883442641
89	0.4874465182
90	0.4862275806
91	0.4847392962
92	0.4832447236
93	0.4824335219
94	0.4813396973
95	0.4800653654
96	0.4785477872
97	0.477465368
98	0.4761596374
99	0.4751259032
100	0.4742537493
101	0.4729914916
102	0.4722558786
103	0.4712194502
104	0.4699162502
105	0.4689747892
106	0.4678338585
107	0.4669747904
108	0.4662183043
109	0.4654743103
110	0.4646041393
111	0.4638268949
112	0.4632366405
113	0.462444774
114	0.4612793852
115	0.4604804912
116	0.4595545263
117	0.4586098876
118	0.4576526746
119	0.4566553836
120	0.4558461846
121	0.4548011356
122	0.4538975736
123	0.453442519
124	0.4525917646
125	0.4515319044
126	0.4508251202
127	0.4502023782
128	0.4495656924
129	0.4486713744
130	0.4478562362
131	0.447033972
132	0.4460853951
133	0.4452173013
134	0.4444934716
135	0.4439028015
136	0.4432300281
137	0.4422563768
138	0.441479183
139	0.4408462471
140	0.4399848451
141	0.4392129884
142	0.4385474368
143	0.4379639469
144	0.437383767
145	0.436819348
146	0.4360842606
147	0.4354029841
148	0.4346991555
149	0.4338709327
150	0.4333735377
151	0.4328656735
152	0.4322290647
153	0.43185658
154	0.4311118681
155	0.4302268033
156	0.4297321631
157	0.4291984622
158	0.4286654909
159	0.4280300666
160	0.4273749745
161	0.4266943135
162	0.4261106222
163	0.4257335289
164	0.4247744062
165	0.4242988414
166	0.4234969259
167	0.4228254685
168	0.4221465824
169	0.4215732106
170	0.4210626945
171	0.4204019439
172	0.4199200395
173	0.4192234343
174	0.4184984793
175	0.4179419341
176	0.4173486838
177	0.4167025639
178	0.4161062912
179	0.4154810548
180	0.4146539988
181	0.4139314842
182	0.4132595648
183	0.4126139214
184	0.4120163496
185	0.4115959025
186	0.4112644578
187	0.4105311005
188	0.4099907114
189	0.4092293448
190	0.408594736
191	0.4079366124
192	0.4073817897
193	0.4067650019
194	0.4062867164
195	0.4058293587
196	0.4053730858
197	0.4048349999
198	0.4042382706
199	0.4034663001
200	0.4030823511
201	0.4027317046
202	0.4019071483
203	0.4012405739
204	0.4007040049
205	0.3999767033
206	0.3996375309
207	0.398991699
208	0.39848582
209	0.3980269558
210	0.3977325672
211	0.3972296856
212	0.3967253474
213	0.3962350811
214	0.395868409
215	0.3953246591
216	0.3949394918
217	0.3945754654
218	0.3940947263
219	0.3937246598
220	0.3931699357
221	0.3927131816
222	0.3924789986
223	0.3921432128
224	0.3917082074
225	0.3913025491
226	0.390814264
227	0.3903484629
228	0.3897058372
229	0.3892993748
230	0.3887978071
231	0.3884653226
232	0.3881372223
233	0.3878152156
234	0.3874708422
235	0.3870557672
236	0.386513325
237	0.3861565692
238	0.3857578793
239	0.3853329059
240	0.3849145139
241	0.3845067005
242	0.3841511853
243	0.3838327404
244	0.3835408442
245	0.3830811457
246	0.3824762314
247	0.3820880135
248	0.3817591588
249	0.3812644278
250	0.3807402313
251	0.3802697577
252	0.3798346567
253	0.3793782473
254	0.3789245321
255	0.3786032567
